Year,Location,D,G,Gold,Silver,Bronze
2015,Haiyang (26 - 27 June 2015),B,W,Petra Klingler 3t3 4b10,Akiyo Noguchi 3t4 4b5,Shauna Coxsey 3t84 b9
2015,Munich (14 - 15 August 2015),B,M,Alexey Rubtsov 2t11 4b12,Martin Stráník 1t1 3b4,Jongwon Chon 1t1 3b5
2015,Munich (14 - 15 August 2015),B,W,Shauna Coxsey 4t4 4b4,Fanny Gibert 3t3 4b7,Megan Mascarenas 3t4 4b5
2016,Meiringen (15 - 16 April 2016),B,M,Alexey Rubtsov,Martin Stráník,Jorg Verhoeven
2016,Meiringen (15 - 16 April 2016),B,W,Shauna Coxsey,Melissa Le Neve,Megan Mascarenas
2016,Kazo (23 - 24 April 2016),B,M,Rustam Gelmanov,Michael Piccolruaz,Kokoro Fujii
2016,Kazo (23 - 24 April 2016),B,W,Shauna Coxsey,Melissa Le Neve,Miho Nonaka
2016,Chongqing (30 April - 1 May 2016),B,M,Tomoa Narasaki,Jan Hojer,Jongwon Chon
2016,Chongqing (30 April - 1 May 2016),B,W,Shauna Coxsey,Akiyo Noguchi,Miho Nonaka
2016,Navi Mumbai (14 - 15 May 2016),B,M,Kokoro Fujii,Tomoa Narasaki,Alexey Rubtsov
2016,Navi Mumbai (14 - 15 May 2016),B,W,Miho Nonaka,Monika Retschy,Akiyo Noguchi
2016,Innsbruck (20 - 21 May 2016),B,M,Jongwon Chon,Tomoa Narasaki,Sean McColl
2016,Innsbruck (20 - 21 May 2016),B,W,Shauna Coxsey,Janja Garnbret,Miho Nonaka
2016,Vail (10 - 11 June 2016),B,M,Kokoro Fujii,Tomoa Narasaki,Alexey Rubtsov
2016,Vail (10 - 11 June 2016),B,W,Megan Mascarenas,Shauna Coxsey,Anna Stöhr
2016,Munich (12 - 13 August 2016),B,M,Tomoa Narasaki,Jongwon Chon,Alexey Rubtsov
2016,Munich (12 - 13 August 2016),B,W,Miho Nonaka,Shauna Coxsey,Akiyo Noguchi
2017,Meiringen (7–8 April),B,M,Kokoro Fujii,Alexey Rubtsov,Keita Watabe
2017,Meiringen (7–8 April),B,W,Shauna Coxsey,Katharina Saurwein,Miho Nonaka
2017,Chongqing (22–23 April),B,M,Jongwon Chon,Tomoa Narasaki,Alexey Rubtsov
2017,Chongqing (22–23 April),B,W,Janja Garnbret,Shauna Coxsey,Akiyo Noguchi
2017,Nanjing (29–30 April),B,M,Keita Watabe,Tomoa Narasaki,Jernej Kruder
2017,Nanjing (29–30 April),B,W,Shauna Coxsey,Janja Garnbret,Miho Nonaka
2017,Hachioji (6–7 May),B,M,Alexey Rubtsov,Tomoa Narasaki,Keita Watabe
2017,Hachioji (6–7 May),B,W,Janja Garnbret,Akiyo Noguchi,Miho Nonaka
2017,Vail (9–10 June),B,M,Jongwon Chon,Meichi Narasaki,Yoshiyuki Ogata
2017,Vail (9–10 June),B,W,Shauna Coxsey,Akiyo Noguchi,Miho Nonaka
2017,Navi Mumbai (24–25 June),B,M,Jongwon Chon,Rei Sugimoto,Alexey Rubtsov
2017,Navi Mumbai (24–25 June),B,W,Shauna Coxsey,Miho Nonaka,Akiyo Noguchi
2017,Munich (18–19 August),B,M,Jan Hojer,Tomoa Narasaki,Taisei Ishimatsu
2017,Munich (18–19 August),B,W,Janja Garnbret,Shauna Coxsey,Akiyo Noguchi
2018,Meiringen 13 – 14 April 2018,B,M,Jernej Kruder,Tomoa Narasaki,Alexey Rubtsov
2018,Meiringen 13 – 14 April 2018,B,W,Miho Nonaka,Janja Garnbret,Akiyo Noguchi
2018,Moscow 21 – 22 April 2018,B,M,Tomoa Narasaki,Jernej Kruder,Gregor Vezonik
2018,Moscow 21 – 22 April 2018,B,W,Janja Garnbret,Miho Nonaka,Akiyo Noguchi
2018,Chongqing 5 – 6 May 2018,B,M,Kokoro Fujii,Sean McColl,Alexey Rubtsov
2018,Chongqing 5 – 6 May 2018,B,W,Akiyo Noguchi,Miho Nonaka,Stasa Gejo
2018,Tai'an 12 – 13 May 2018,B,M,Alex Khazanov,Jernej Kruder,Gregor Vezonik
2018,Tai'an 12 – 13 May 2018,B,W,Akiyo Noguchi,Miho Nonaka,Fanny Gibert
2018,Hachioji 2 – 3 June 2018,B,M,Gabriele Moroni,Tomoa Narasaki,Rei Sugimoto
2018,Hachioji 2 – 3 June 2018,B,W,Akiyo Noguchi,Miho Nonaka,Ekaterina Kipriianova
2018,Vail 8 – 9 June 2018,B,M,Rei Sugimoto,Sean Bailey,Tomoa Narasaki
2018,Vail 8 – 9 June 2018,B,W,Alex Puccio,Miho Nonaka,Akiyo Noguchi
2018,Munich 17 – 18 August 2018,B,M,Gregor Vezonik,Jernej Kruder,Jakob Schubert
2018,Munich 17 – 18 August 2018,B,W,Janja Garnbret,Miho Nonaka,Akiyo Noguchi
2019,"Meiringen, SwitzerlandApril, 5–6",B,M,Adam Ondra 4T4z 10 9,Tomoa Narasaki 3T3z 7 6,Rei Sugimoto 2T3z 6 7
2019,"Meiringen, SwitzerlandApril, 5–6",B,W,Janja Garnbret 3T4z 6 6,Akiyo Noguchi 3T4z 9 12,Shauna Coxsey 2T3z 3 4
2019,"Moscow, RussiaApril, 12–14",B,M,Jernej Kruder 4T4z 8 6,Adam Ondra 3T4z 5 7,Yoshiyuki Ogata 3T3z 6 5
2019,"Moscow, RussiaApril, 12–14",B,W,Janja Garnbret 4T4z 4 4,Shauna Coxsey 4T4z 6 6,Fanny Gibert 4T4z 6 6
2019,"Chongqing, ChinaApril, 26–28",B,M,Manuel Cornu 3T4z 5 5,Tomoa Narasaki 3T4z 5 6,Anze Peharc 3T4z 10 10
2019,"Chongqing, ChinaApril, 26–28",B,W,Janja Garnbret 4T4z 8 6,Akiyo Noguchi 4T4z 12 9,Jessica Pilz 3T4z 8 11
2019,"Wujiang, ChinaMay, 3–5",B,M,Tomoa Narasaki 3T4z 7 8,Kai Harada 3T4z 7 13,Jakob Schubert 1T4z 2 9
2019,"Wujiang, ChinaMay, 3–5",B,W,Janja Garnbret 4T4z 5 4,Akiyo Noguchi 3T4z 4 5,Ai Mori 3T4z 11 9
2019,"Munich, GermanyMay, 18–19",B,M,Jakob Schubert 3T4z 7 8,Adam Ondra 3T3z 3 3,Jan Hojer 2T4z 4 14
2019,"Munich, GermanyMay, 18–19",B,W,Janja Garnbret 4T4z 5 5,Fanny Gibert 4T4z 8 7,Mia Krampl 3T3z 9 9
2019,"Vail, United StatesJune, 7–8",B,M,Yoshiyuki Ogata 4T4z 11 9,Tomoa Narasaki 3T4z 5 5,Jongwon Chon 3T4z 6 7
2019,"Vail, United StatesJune, 7–8",B,W,Janja Garnbret 4T4z 9 8,Akiyo Noguchi 3T4z 5 6,Fanny Gibert 2T4z 3 9
2021,"Meiringen, SwitzerlandApril, 16–18",B,M,Adam Ondra 3T3z 10 7,Yoshiyuki Ogata 2T4z 7 9,Tomoaki Takata 1T4z 4 12
2021,"Meiringen, SwitzerlandApril, 16–18",B,W,Janja Garnbret 4T4z 7 6,Oriane Bertone 2T4z 8 10,Natalia Grossman 2T4z 10 10
2021,"Salt Lake City, United StatesMay, 21-22[Note 1]",B,M,Adam Ondra 4T4z 8 7,Mejdi Schalck 3T4z 4 5,Jakob Schubert 3T3z 4 4
2021,"Salt Lake City, United StatesMay, 21-22[Note 1]",B,W,Natalia Grossman 4T4z 15 14,Oriane Bertone 3T4z 7 7,Brooke Raboutou 3T3z 4 3
2021,"Salt Lake City, United StatesMay, 28–30[Note 2]",B,M,Sean Bailey 2T4z 9 11,Kokoro Fujii 1T4z 9 12,Tomoa Narasaki 1T3z 1 3
2021,"Salt Lake City, United StatesMay, 28–30[Note 2]",B,W,Natalia Grossman 4T4z 4 4,Janja Garnbret 4T4z 6 6,Brooke Raboutou 3T4z 5 8
2021,"Innsbruck, AustriaJune, 23–26[Note 3]",B,M,Yoshiyuki Ogata 2T2z 7 7,Tomoa Narasaki 1T3z 2 11,Kokoro Fujii 1T1z 2 2
2021,"Innsbruck, AustriaJune, 23–26[Note 3]",B,W,Janja Garnbret 3T3z 3 3,Natalia Grossman 3T3z 9 9,Stasa Gejo 1T3z 2 6
2022,Meiringen 8–10 April,B,M,Tomoa Narasaki 2T3Z 3 6,Yoshiyuki Ogata 2T3Z 5 19,Mejdi Schalck 2T3Z 7 9
2022,Meiringen 8–10 April,B,W,Janja Garnbret 4T4Z 5 5,Natalia Grossman 3T4Z 8 16,Andrea Kümin 1T2Z 1 3
2022,Seoul 6–8 May,B,M,Kokoro Fujii 4T4Z 11 4,Tomoa Narasaki 4T4Z 12 8,Yoshiyuki Ogata 3T4Z 6 7
2022,Seoul 6–8 May,B,W,Natalia Grossman 4T4Z 7 5,Oriane Bertone 3T4Z 5 5,Brooke Raboutou 3T3Z 6 5
2022,Salt Lake City 20–22 May,B,M,Mejdi Schalck 4T4Z 9 6,Yoshiyuki Ogata 4T4Z 11 10,Rei Kawamata 3T4Z 14 12
